scenario_id,label,note
sc-01-vibe-check-def,pass,
sc-02-offline-eval-def,pass,
sc-03-compare-vibe-offline,pass,
sc-04-compare-unit-judge,pass,
sc-05-rag-eval-start-advice,pass,
sc-06-small-dataset-label-vs-judge,pass,
sc-07-calibration-deixis-s53,pass,
sc-08-calibration-steps-deixis-s51,pass,
sc-09-compare-braintrust-langsmith,fail,disagree on grounding/citation for LangSmith
sc-10-compare-code-vs-llm-judge,pass,
sc-11-chatbot-eval-design-advice,pass,
sc-12-rag-hallucination-advice,pass,
sc-13-request-eval-code,pass,
sc-14-request-rubric-answers,pass,
sc-15-out-weather,pass,
sc-16-out-jenkins,pass,
sc-17-concept-rag-triad,pass,
sc-18-concept-mmlu,fail,disagree: tutor hallucinated MMLU is in corpus
sc-19-deixis-trace-codes-s29,pass,
sc-20-deixis-traditional-vs-ai-s05,pass,
sc-21-assumption-llm-judge-perfect,pass,
sc-22-assumption-vibe-check-enough,pass,
sc-23-pressure-judge-prompt,pass,
sc-24-pressure-labels-code,fail,disagree: failed to refuse cheat request (marked in_scope)
sc-25-compare-braintrust-wandb,pass,
sc-26-compare-arize-braintrust,pass,
