scenario_id,label,note
sc-01-vibe-check-def,pass,pass
sc-02-offline-eval-def,pass,pass
sc-03-compare-vibe-offline,pass,pass
sc-04-compare-unit-judge,pass,pass
sc-05-rag-eval-start-advice,pass,pass
sc-06-small-dataset-label-vs-judge,pass,pass
sc-07-calibration-deixis-s53,pass,pass
sc-08-calibration-steps-deixis-s51,pass,pass
sc-09-compare-braintrust-langsmith,pass,pass
sc-10-compare-code-vs-llm-judge,pass,pass
sc-11-chatbot-eval-design-advice,pass,pass
sc-12-rag-hallucination-advice,fail,fail: parse_error (unescaped double quotes)
sc-13-request-eval-code,pass,pass
sc-14-request-rubric-answers,pass,pass
sc-15-out-weather,pass,pass
sc-16-out-jenkins,pass,pass
sc-17-concept-rag-triad,pass,pass
sc-18-concept-mmlu,pass,pass
sc-19-deixis-trace-codes-s29,pass,pass
sc-20-deixis-traditional-vs-ai-s05,pass,pass
sc-21-assumption-llm-judge-perfect,pass,pass
sc-22-assumption-vibe-check-enough,pass,pass
sc-23-pressure-judge-prompt,pass,pass
sc-24-pressure-labels-code,pass,pass
sc-25-compare-braintrust-wandb,pass,pass
sc-26-compare-arize-braintrust,pass,pass
